MOTOR 1,,,,,,,
,,,,,,,
Condition,Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
,0.5153193,-0.721436,-1.898107,9.309277,9.528164,12.304899,249.189102
,0.5174665,-0.544367,-1.711466,9.716056,9.880648,10.472585,252.355667
,0.5196137,-0.448654,-1.969891,10.00798,10.209869,11.413058,257.169403
,0.5217609,-0.463011,-1.835893,9.806984,9.988084,10.927335,255.845215
,0.523908,-0.93679,-1.644467,9.687343,9.870484,11.054425,240.331497
,0.5260552,-0.888934,-1.673181,9.658628,9.842705,11.09835,242.019028
,0.5282024,-0.391227,-1.96032,9.955338,10.154047,11.353693,258.713593
,0.5303495,-0.324227,-2.041676,9.926624,10.139597,11.763934,260.976532
,0.5324967,-0.635294,-1.610968,9.787841,9.939852,10.03321,248.477921
,0.5346438,-0.56351,-2.056033,9.357133,9.596913,12.834735,254.672974
,0.536791,-0.061017,-1.974677,8.955139,9.170474,12.440914,268.230133
,0.5389382,-0.486939,-1.74018,9.11785,9.295189,11.209939,254.367249
,0.5410854,-0.391227,-1.979463,9.189635,9.408545,12.383828,258.819977
,0.5432325,-0.381655,-1.917249,9.165708,9.371857,12.039679,258.741638
,0.5453797,-0.391227,-1.505684,9.59163,9.71697,9.212666,255.434738
,0.5475268,-0.587438,-1.223331,9.759128,9.853029,7.916536,244.349884
,0.549674,-0.544367,-1.424328,9.749556,9.868073,8.888913,249.083527
,0.5518212,-0.463011,-1.14676,9.634701,9.713748,7.314454,248.013321
,0.5539683,-0.491725,-1.03669,9.945767,10.011734,6.580881,244.623978
,0.5561155,-0.778864,-1.3334,10.457831,10.571226,8.39964,239.710007
,0.5582626,-0.817149,-1.352543,10.563115,10.68066,8.508239,238.86142
,0.5604098,-0.53001,-0.936192,10.826326,10.879646,5.674817,240.484314
,0.562557,-0.869791,-0.160917,11.247463,11.282192,4.496754,190.481598
,0.5647042,-1.161715,-0.816551,9.88834,9.989775,8.171857,215.102753
,0.5668513,-0.118445,-1.453042,9.318848,9.432194,8.891411,265.339844
,0.5689985,-0.735793,-0.768694,9.859626,9.91688,6.159725,226.252792
,0.5711456,-0.587438,-2.027319,9.897911,10.120462,12.037927,253.840469
,0.5732928,-0.491725,-2.060818,10.180264,10.398391,11.756327,256.579773
,0.57544,-0.769292,-1.759323,9.921839,10.105934,10.952977,246.381866
,0.5775871,-0.075374,-1.855036,9.639486,9.816646,10.901688,267.673248
,0.5797343,-0.352941,-2.032105,8.873783,9.110327,13.084896,260.147003
,0.5818815,-0.070588,-2.319243,8.395218,8.709969,15.450022,268.256683
,0.5840287,-0.032303,-2.414956,8.749356,9.076579,15.431628,269.233643
,0.5861758,-0.549153,-2.113461,9.065208,9.324499,13.54347,255.434601
,0.5883229,-0.687936,-2.118246,9.610772,9.865453,13.047161,252.007919
,0.5904701,-0.687936,-2.108675,9.998409,10.241482,12.507965,251.931549
,0.5926173,-0.597009,-2.113461,9.586843,9.835176,12.90274,254.226105
,0.5947645,-0.515653,-1.878964,9.586843,9.782841,11.488354,254.653854
,0.5969116,-0.697508,-1.716252,9.577272,9.754803,10.947763,247.882523
,0.5990588,-0.506082,-2.099104,9.404989,9.649673,12.930209,256.445007
,0.6012059,-0.338584,-1.601397,9.988838,10.122055,9.305947,258.061737
,0.6033531,-0.711865,-1.295115,10.003195,10.111774,8.404035,241.204453
,0.6055003,-0.879362,-1.242473,10.323833,10.435447,8.387404,234.710983
,0.6076474,-0.362513,-1.342972,10.290334,10.383928,7.698552,254.893997
,0.6097946,-0.635294,-0.778266,9.912268,9.963049,5.787332,230.775406
,0.6119418,-1.056431,-0.759123,10.122836,10.206082,7.322952,215.700012
,0.6140889,-0.319442,-1.141975,10.342976,10.410729,6.540319,254.372223
,0.6162361,-0.606581,-0.96012,10.299905,10.362327,6.29211,237.716293
,0.6183833,-0.558724,-0.806979,10.386046,10.432323,5.398662,235.302643
,0.6205304,-0.367298,-1.027119,10.275977,10.333711,6.059354,250.322922
,0.6226776,-0.357727,-1.041476,9.6682,9.73071,6.497937,251.043381
,0.6248248,-0.166301,-1.247259,9.299706,9.384446,7.70561,262.405365
,0.6269719,-0.525225,-1.582254,9.797412,9.938243,9.657078,251.636566
,0.629119,-0.45344,-1.706681,9.787841,9.945864,10.227104,255.121094
,0.6312662,-0.606581,-1.539183,9.682557,9.822878,9.696108,248.490967
,0.6334134,-0.582652,-1.85025,9.376275,9.574834,11.688806,252.520538
,0.6355606,-0.396012,-2.084747,9.141779,9.384834,13.068293,259.244415
,0.6377077,-0.764507,-1.845464,9.419347,9.628827,11.973272,247.497604
,0.6398549,-0.558724,-2.041676,9.007781,9.253147,13.22405,254.695175
,0.6420021,-0.309871,-2.204388,9.227921,9.492621,13.562401,261.998383
,0.6441492,-0.597009,-1.840679,9.687343,9.878721,11.296338,252.029953
,0.6462964,-0.314656,-2.18046,9.984053,10.224222,12.443292,261.788483
,0.6484435,-0.711865,-1.88375,9.725628,9.931924,11.698258,249.298538
